Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
""	""	""	6.8	2104	""	Drama	17000000	1963-01-01	57	""	Original Screenplay	55 Days at Peking	""	10000000	10000000
Contemporary Fiction	Adrian Lyne	MGM	5.4	12731	""	Drama	18000000	21-Feb-86	""	""	Based on Book/Short Story	Nine 1/2 Weeks	""	6734844	6734844
Fantasy	""	Alliance	4.9	5620	Not Rated	Adventure	113500000	4-Jul-08	""	""	Based on Comic/Graphic Novel	AstÈrix aux Jeux Olympiques	""	999811	132999811
Science Fiction	James Cameron	20th Century Fox	7.6	51018	PG-13	Action	70000000	9-Aug-89	88	""	Original Screenplay	The Abyss	""	54243125	54243125
Contemporary Fiction	""	Lorimar Motion Pictures	4.6	3856	""	Action	7000000	12-Feb-88	10	""	Original Screenplay	Action Jackson	""	20257000	20257000
Contemporary Fiction	Tom Shadyac	Warner Bros.	6.6	63543	PG-13	Comedy	12000000	4-Feb-94	49	""	Original Screenplay	Ace Ventura: Pet Detective	""	72217396	107217396
Contemporary Fiction	Steve Oedekerk	Warner Bros.	5.6	51275	PG-13	Comedy	30000000	10-Nov-95	""	""	Original Screenplay	Ace Ventura: When Nature Calls	""	108360063	212400000
Contemporary Fiction	""	Paramount Pictures	""	""	""	Horror	5000000	27-Mar-86	31	""	Original Screenplay	April Fool's Day	""	12947763	12947763
""	""	Fox Searchlight	5.7	546	R	Romantic Comedy	4000000	26-Mar-99	""	""	Original Screenplay	Among Giants	""	64359	64359
""	""	MGM	7.1	1326	""	Musical	3768785	17-May-50	100	""	Based on Book/Short Story	Annie Get Your Gun	""	8000000	8000000
""	""	RKO Radio Pictures	6.7	63458	""	Musical	3000000	28-Jul-51	20	""	Based on Book/Short Story	Alice in Wonderland	""	0	0
Fantasy	""	Miramax	7.3	893	G	Adventure	24000000	25-Aug-95	""	""	Original Screenplay	The Princess and the Cobbler	""	669276	669276
Historical Fiction	John Wayne	United Artists	5.9	10063	PG-13	Western	12000000	24-Oct-60	54	""	Original Screenplay	The Alamo	""	7900000	7900000
""	""	20th Century Fox	""	""	""	Drama	2000000	1938-01-01	""	""	Original Screenplay	Alexander's Ragtime Band	""	4000000	4000000
Dramatization	Frank Marshall	Walt Disney Pictures	3.2	124	R	Adventure	32000000	15-Jan-93	71	""	Based on Book/Short Story	Alive	""	36299670	36299670
""	Costa-Gavras	Kino International	7.4	5416	Not Rated	Drama	14000000	24-Jan-03	""	""	Based on Play	Amen	""	274299	274299
""	George Lucas	Universal	7.6	30952	""	Comedy	777000	11-Aug-73	97	""	Original Screenplay	American Graffiti	""	115000000	140000000
""	Sam Firstenberg	""	3.7	2495	""	Action	350000	1987-01-01	""	""	Original Screenplay	American Ninja 2: The Confrontation	""	4000000	4000000
Contemporary Fiction	Rob Reiner	Sony Pictures	6.8	22780	PG-13	Romantic Comedy	62000000	17-Nov-95	90	""	Original Screenplay	The American President	""	60022813	107822813
""	Woody Allen	MGM	8.2	65406	""	Comedy	4000000	20-Apr-77	98	""	Original Screenplay	Annie Hall	""	38251425	38251425
""	""	Sony Pictures	6.1	6266	Not Rated	Horror	2500000	8-Sep-00	""	""	Original Screenplay	Anatomie	""	9598	9598
Historical Fiction	Stephen Sommers	Walt Disney Pictures	5.8	3095	PG	Adventure	6500000	2-Apr-93	62	""	Based on Book/Short Story	The Adventures of Huck Finn	""	24103594	24103594
""	Billy Wilder	United Artists	8.4	36485	""	Romantic Comedy	3000000	1960-01-01	91	""	Original Screenplay	The Apartment	""	18600000	24600000
Historical Fiction	Francis Ford Coppola	MGM	8.6	173141	R	Action	31500000	15-Aug-79	98	""	Based on Book/Short Story	Apocalypse Now	3479242	78800000	78800000
Science Fiction	Frank Marshall	Walt Disney Pictures	6.2	20528	""	Thriller/Suspense	31000000	18-Jul-90	85	""	Original Screenplay	Arachnophobia	""	53208180	53208180
Historical Fiction	""	""	6.4	6251	R	Action	16500000	25-Dec-07	""	""	Based on Book/Short Story	Arn - Tempelriddaren	""	0	14900000
Contemporary Fiction	""	The Movie Partners	5.1	77	PG-13	Thriller/Suspense	600000	19-Oct-07	""	""	Original Screenplay	Arnolds Park	""	23616	23616
""	""	""	5.6	1769	""	""	150000	1-Jan-71	""	""	""	Sweet Sweetback's Baad Asssss Song	""	15200000	15200000
""	""	Fox Meadow	4.4	200	Not Rated	Comedy	989000	1-Jun-07	17	""	""	And Then Came Love	""	8158	8158
""	""	United Artists	5.6	21516	PG	Adventure	6000000	17-Oct-56	73	""	Based on Book/Short Story	Around the World in 80 Days	""	42000000	42000000
Science Fiction	""	Paramount Pictures	5.7	10794	""	Adventure	9000000	10-Oct-68	74	""	Based on Comic/Graphic Novel	Barbarella	""	0	0
""	Stanley Kubrick	Warner Bros.	8.1	39909	""	Drama	11000000	1975-01-01	94	""	Based on Book/Short Story	Barry Lyndon	""	20000000	20000000
""	""	""	5.4	236	""	""	4000000	March, 1987	""	""	""	Barbarians, The	""	800000	800000
Contemporary Fiction	Chris Noonan	Universal	7.3	35644	G	Adventure	30000000	4-Aug-95	98	""	Based on Book/Short Story	Babe	""	63658910	246100000
Contemporary Fiction	""	Wingate Distribution	""	""	R	Romantic Comedy	2900000	24-Mar-06	""	104	Original Screenplay	Boynton Beach Club	""	3127472	3127472
Contemporary Fiction	Patrick Read Johnson	20th Century Fox	5.0	8332	PG	Comedy	50000000	1-Jul-94	21	""	Original Screenplay	Baby's Day Out	""	16581575	16581575
""	Taylor Hackford	Walt Disney Pictures	7.7	10142	""	""	35000000	16-Apr-93	""	""	Original Screenplay	Bound by Honor	""	4496583	4496583
Contemporary Fiction	""	Alliance	6.9	151	Not Rated	Comedy	8000000	4-Aug-06	67	""	Original Screenplay	Bon Cop, Bad Cop	""	12671300	12671300
Science Fiction	Robert Zemeckis	Universal	8.4	201598	""	Adventure	19000000	3-Jul-85	96	""	Original Screenplay	Back to the Future	""	210609762	381109762
Science Fiction	Robert Zemeckis	Universal	7.5	87341	""	Adventure	40000000	22-Nov-89	64	""	Original Screenplay	Back to the Future Part II	""	118450002	332000000
Science Fiction	Robert Zemeckis	Universal	7.1	77541	""	Adventure	40000000	24-May-90	71	""	Original Screenplay	Back to the Future Part III	""	87666629	243700000
Historical Fiction	George Roy Hill	20th Century Fox	8.2	57602	""	Western	6000000	24-Oct-69	90	""	""	Butch Cassidy and the Sundance Kid	""	102308900	102308900
Contemporary Fiction	Michael Bay	Sony Pictures	6.6	53929	R	Action	23000000	7-Apr-95	39	""	Original Screenplay	Bad Boys	""	65647413	141247413
Contemporary Fiction	Brian De Palma	Sony/Columbia	6.4	9738	""	Thriller/Suspense	10000000	26-Oct-84	84	""	Original Screenplay	Body Double	""	8801940	8801940
""	""	Warner Bros.	""	""	""	""	210000	13-Jun-53	90	""	Based on Book/Short Story	The Beast from 20,000 Fathoms	""	5000000	5000000
Fantasy	""	New Line	3.3	1327	""	""	6000000	30-Aug-91	17	""	Based on Book/Short Story	Beastmaster 2: Through the Portal of Time	""	773490	773490
Fantasy	""	MGM	5.7	5734	""	Action	5000000	20-Aug-82	50	""	Based on Book/Short Story	The Beastmaster	""	10751126	10751126
""	""	MGM	8.2	58510	""	Adventure	3900000	30-Dec-25	""	""	Based on Book/Short Story	Ben-Hur	""	9000000	9000000
""	William Wyler	MGM	8.2	58510	""	Adventure	15000000	18-Nov-59	91	""	Based on Book/Short Story	Ben-Hur	""	73000000	73000000
""	""	""	5.8	1801	""	Adventure	500000	15-Nov-74	83	""	Original Screenplay	Benji	""	31559560	31559560
Contemporary Fiction	Richard Linklater	Sony Pictures	8.0	39705	R	Drama	2500000	27-Jan-95	100	""	Original Screenplay	Before Sunrise	""	5274005	5274005
Fantasy	Gary Trousdale	Walt Disney Pictures	3.4	354	G	Musical	20000000	13-Nov-91	93	""	Based on Book/Short Story	Beauty and the Beast	""	171340294	403476931
""	William Wyler	RKO Radio Pictures	8.2	17338	""	Drama	2100000	21-Nov-46	97	""	Based on Book/Short Story	The Best Years of Our Lives	""	23600000	23600000
Historical Fiction	""	Embassy	""	""	""	Western	1305000	19-Aug-83	""	""	Based on Book/Short Story	The Ballad of Gregorio Cortez	""	909000	909000
Contemporary Fiction	""	Big Fat Movies	3.2	1119	R	Comedy	3000000	30-Sep-05	23	""	""	My Big Fat Independent Movie	""	4655	4655
Science Fiction	Jack Lee Thompson	20th Century Fox	5.0	6094	""	""	1800000	1973-01-01	38	""	""	Battle for the Planet of the Apes	""	8800000	8800000
""	""	""	""	""	""	""	50000	31-Dec-09	""	""	""	Big Things	""	0	0
Fantasy	Norman Jewison	Warner Bros.	4.8	2742	PG	Comedy	32000000	6-Sep-96	40	""	Original Screenplay	Bogus	""	4357406	4357406
Contemporary Fiction	Martin Brest	Paramount Pictures	7.3	45065	""	Action	15000000	5-Dec-84	83	""	Original Screenplay	Beverly Hills Cop	""	234760478	316300000
Contemporary Fiction	Tony Scott	Paramount Pictures	6.1	29712	R	Action	20000000	20-May-87	46	""	Original Screenplay	Beverly Hills Cop II	""	153665036	276665036
Contemporary Fiction	John Landis	Paramount Pictures	5.0	21199	R	Action	50000000	25-May-94	10	""	Original Screenplay	Beverly Hills Cop III	""	42586861	119180938
Science Fiction	""	Walt Disney Pictures	5.6	7810	""	""	20000000	21-Dec-79	42	""	Original Screenplay	The Black Hole	""	35841901	35841901
""	""	""	6.1	1446	""	""	15000000	10-Jul-08	""	""	""	Bathory	""	0	3436763
Fantasy	Penny Marshall	20th Century Fox	7.2	49256	""	Comedy	18000000	3-Jun-88	96	""	Original Screenplay	Big	""	114968774	151668774
""	King Vidor	MGM	8.4	2600	""	Drama	245000	1-Jan-25	100	""	Based on Play	The Big Parade	""	11000000	22000000
Contemporary Fiction	John Singleton	Sony Pictures	7.8	30299	""	Drama	6500000	12-Jul-91	98	""	Original Screenplay	Boyz n the Hood	""	56190094	56190094
Historical Fiction	""	Distributor Unknown	""	""	PG	Drama	2000000	12-Sep-03	""	""	Based on Book/Short Story	The Book of Mormon Movie, Volume 1: The Journey	""	1660865	1660865
""	""	""	4.3	4632	""	""	11000000	1991-01-01	""	""	""	Return to the Blue Lagoon	""	2000000	2000000
Contemporary Fiction	""	United Artists	6.8	11929	R	Drama	25000000	1-Apr-88	61	""	Based on Book/Short Story	Bright Lights, Big City	""	16118077	16118077
Fantasy	George Cukor	20th Century Fox	4.9	359	""	""	1200000	1976-01-01	""	""	Based on Play	The Blue Bird	""	887000	887000
Contemporary Fiction	""	Alliance	6.2	817	PG	Drama	10400000	20-Feb-04	44	""	Original Screenplay	The Blue Butterfly	""	1610194	1610194
Science Fiction	Ridley Scott	Warner Bros.	8.3	185546	R	Thriller/Suspense	28000000	25-Jun-82	92	""	Based on Book/Short Story	Blade Runner	""	32656328	33139618
Contemporary Fiction	""	Cannon	6.2	19816	""	Action	1500000	26-Feb-88	""	""	Original Screenplay	Bloodsport	""	11806119	11806119
Contemporary Fiction	John Landis	Universal	7.9	62941	""	Musical	27000000	20-Jun-80	84	""	Original Screenplay	The Blues Brothers	""	57229890	57229890
Contemporary Fiction	Brian De Palma	Filmways Pictures	7.1	10239	""	Thriller/Suspense	18000000	24-Jul-81	89	""	Original Screenplay	Blow Out	""	13747234	13747234
Contemporary Fiction	""	WellSpring	7.3	7295	Not Rated	Drama	5500000	1-Jul-05	""	""	Original Screenplay	De battre mon coeur s'est arrÍtÈ	""	1023424	8589831
""	""	MGM	6.7	2017	""	Musical	379000	1929-01-01	38	""	Original Screenplay	The Broadway Melody	""	2800000	4358000
""	""	MGM	7.1	1115	""	""	2000000	1940-01-01	""	""	Original Screenplay	Boom Town	""	9172000	9172000
Contemporary Fiction	Andy Wachowski	Gramercy	7.4	23564	R	Thriller/Suspense	4500000	4-Oct-96	88	""	Original Screenplay	Bound	""	3802260	6300000
Contemporary Fiction	"Jeff \"\"King Jeff\"\" Hollins"	JeTi Films	6.3	369	""	Thriller/Suspense	10000	1-Apr-96	""	""	Original Screenplay	Bang	""	527	527
""	Woody Allen	MGM	7.1	12415	PG-13	Comedy	2000000	28-Apr-71	89	""	Original Screenplay	Bananas	""	""	""
Fantasy	Peter Hewitt	Orion Pictures	5.8	20188	""	Comedy	20000000	19-Jul-91	58	""	Original Screenplay	Bill & Ted's Bogus Journey	""	37537675	37537675
""	""	""	7.1	8901	""	Drama	110000	8-Feb-15	100	""	Based on Book/Short Story	The Birth of a Nation	""	10000000	11000000
Historical Fiction	Sam Peckinpah	Warner Bros.	7.3	3125	""	Western	3716946	13-May-70	92	""	Original Screenplay	The Ballad of Cable Hogue	""	3500000	5000000
""	""	New Line	6.2	2523	""	Action	7700000	23-Feb-90	""	""	Original Screenplay	The Blood of Heroes	""	882290	882290
Factual	""	Lifesize Entertainment	7.6	90	""	Documentary	120000	30-Jun-06	71	""	Based on Real Life Events	The Blood of My Brother: A Story of Death in Iraq	""	0	0
Contemporary Fiction	""	Paramount Pictures	5.9	202	""	Comedy	42000000	1-Jul-92	37	""	Original Screenplay	Boomerang	""	70052444	131052444
""	David Lean	Sony/Columbia	8.4	58641	""	Drama	3000000	18-Dec-57	95	""	Based on Book/Short Story	The Bridge on the River Kwai	""	33300000	33300000
Dramatization	Oliver Stone	Universal	7.2	32108	""	Drama	14000000	20-Dec-89	89	""	Based on Book/Short Story	Born on the Fourth of July	""	70001698	70001698
Dramatization	Julian Schnabel	Miramax	6.7	7935	R	Drama	3000000	9-Aug-96	69	""	Based on Real Life Events	Basquiat	""	2962051	2962051
Contemporary Fiction	Ridley Scott	Paramount Pictures	4.1	137	""	Thriller/Suspense	30000000	22-Sep-89	57	""	Original Screenplay	Black Rain	""	45892212	45892212
""	Wes Anderson	Sony Pictures	7.2	21980	R	Adventure	5000000	21-Feb-96	79	""	Based on Short Film	Bottle Rocket	""	407488	407488
""	Peter Jackson	Trimark	7.6	32827	""	Horror	3000000	12-Feb-93	""	""	Original Screenplay	Braindead	""	242623	242623
Historical Fiction	Clint Eastwood	Warner Bros.	7.2	21923	PG-13	Drama	22000000	2-Jun-95	90	""	Based on Book/Short Story	The Bridges of Madison County	""	71516617	175516617
Contemporary Fiction	Edward Burns	Fox Searchlight	6.4	4365	R	Drama	25000	9-Aug-95	91	""	Original Screenplay	The Brothers McMullen	""	10426506	10426506
Fantasy	Francis Ford Coppola	Sony Pictures	6.4	136	R	Horror	40000000	13-Nov-92	""	""	Based on Book/Short Story	Dracula	""	82522790	215862692
Contemporary Fiction	John Woo	20th Century Fox	5.8	33584	R	Action	65000000	9-Feb-96	55	108	Original Screenplay	Broken Arrow	""	70645997	148345997
Science Fiction	""	MGM	6.3	4410	""	Thriller/Suspense	15000000	30-Sep-83	64	""	Based on Book/Short Story	Brainstorm	""	8921050	8921050
Dramatization	Mel Gibson	Paramount Pictures	8.4	240642	R	Drama	72000000	24-May-95	77	""	Based on Real Life Events	Braveheart	""	75545647	209000000
Contemporary Fiction	""	""	4.4	1254	""	Comedy	42000000	1-Feb-06	""	""	""	Les BronzÈs 3: amis pour la vie	""	0	83833602
Fantasy	Terry Gilliam	Universal	8.0	76635	R	Black Comedy	15000000	18-Dec-85	98	136	Original Screenplay	Brazil	""	9929135	9929135
""	Mel Brooks	Warner Bros.	7.8	45771	""	Comedy	2600000	1-Jan-74	89	""	Original Screenplay	Blazing Saddles	""	119500000	119500000
""	""	MGM	6.3	343	PG	Drama	1300000	5-May-00	""	""	Original Screenplay	The Basket	""	609042	609042
""	""	MGM	6.2	487	""	Musical	2361000	1944-01-01	""	""	Original Screenplay	Bathing Beauty	""	3500000	3500000
Science Fiction	Stephen Herek	Orion Pictures	6.7	30341	""	Comedy	10000000	17-Feb-89	81	""	Original Screenplay	Bill & Ted's Excellent Adventure	""	39916091	39916091
""	Sir Richard Attenborough	MGM	7.3	16882	""	Action	26000000	15-Jun-77	67	""	Based on Book/Short Story	A Bridge Too Far	""	50800000	50800000
Fantasy	Tim Burton	Warner Bros.	7.3	61197	""	Comedy	15000000	30-Mar-88	""	""	Original Screenplay	Beetle Juice	""	73326666	73326666
Super Hero	Tim Burton	Warner Bros.	6.9	78673	PG-13	Action	80000000	18-Jun-92	78	""	Original Screenplay	Batman Returns	""	162831698	266822354
Super Hero	Joel Schumacher	Warner Bros.	5.4	76218	PG-13	Action	100000000	16-Jun-95	43	""	Original Screenplay	Batman Forever	""	184031112	336529144
""	""	""	""	""	""	""	1377800	21-Aug-01	""	""	""	Batman - The Movie	""	0	0
Super Hero	Tim Burton	Warner Bros.	7.6	111464	PG-13	Action	35000000	23-Jun-89	71	""	Based on Comic/Graphic Novel	Batman	""	251188924	411348924
Fantasy	""	20th Century Fox	5.3	16056	""	Horror	7000000	31-Jul-92	32	""	Original Screenplay	Buffy the Vampire Slayer	""	14231669	14231669
Contemporary Fiction	""	Link Productions Ltd.	7.0	7129	Not Rated	Comedy	16000000	25-Jul-08	""	109	Original Screenplay	Bienvenue chez les Ch'tis	""	1470856	243470856
""	""	20th Century Fox	5.7	4626	""	Comedy	1000000	1-Jan-70	68	""	Original Screenplay	Beyond the Valley of the Dolls	""	9000000	9000000
""	""	""	6.4	399	R	Drama	600000	2-Jul-99	""	""	Original Screenplay	Broken Vessels	""	15030	85343
""	Franklin J. Schaffner	20th Century Fox	7.0	8741	""	Thriller/Suspense	12000000	1978-01-01	65	""	Based on Book/Short Story	The Boys from Brazil	""	19000000	19000000
Contemporary Fiction	""	Outrider Pictures	7.0	355	Not Rated	Drama	200000	10-May-02	""	""	Original Screenplay	The Business of Fancy Dancing	""	174682	174682
Contemporary Fiction	Harold Ramis	Warner Bros.	7.3	35436	""	Comedy	6000000	25-Jul-80	75	""	Original Screenplay	Caddyshack	""	39846344	39846344
Contemporary Fiction	Martin Scorsese	Universal	7.3	47196	R	Thriller/Suspense	35000000	15-Nov-91	76	""	Remake	Cape Fear	""	79091969	182291969
Contemporary Fiction	Phillip Noyce	Paramount Pictures	6.8	29612	PG-13	Action	62000000	3-Aug-94	78	""	Based on Book/Short Story	Clear and Present Danger	""	122012656	207500000
Contemporary Fiction	Brian De Palma	MGM	7.4	38767	""	Horror	1800000	16-Nov-76	90	""	Based on Book/Short Story	Carrie	""	25878153	25878153
Contemporary Fiction	John Huston	Sony Pictures	8.0	172936	""	Comedy	12000000	28-Apr-67	30	""	Based on Book/Short Story	Casino Royale	""	22744718	41744718
Contemporary Fiction	""	Alliance	6.0	378	Not Rated	Comedy	4600000	16-Jul-04	""	""	Original Screenplay	Camping Sauvage	""	3479302	3479302
Historical Fiction	Francis Ford Coppola	Orion Pictures	6.3	6940	""	Drama	48000000	14-Dec-84	74	""	Original Screenplay	The Cotton Club	""	25928721	25928721
""	""	""	7.1	153	""	""	600000	23-Aug-02	60	""	""	Crop Circles: Quest for Truth	""	0	0
Science Fiction	Steven Spielberg	Sony Pictures	7.8	59049	""	Adventure	20000000	16-Nov-77	95	""	Original Screenplay	Close Encounters of the Third Kind	""	166000000	337700000
Contemporary Fiction	Ben Stiller	Sony Pictures	5.8	51109	PG-13	Comedy	47000000	14-Jun-96	52	95	Original Screenplay	The Cable Guy	""	60240295	102825796
Contemporary Fiction	""	Eros Entertainment	4.6	527	Not Rated	Thriller/Suspense	1000000	16-Sep-05	""	""	Original Screenplay	Chocolate: Deep Dark Secrets	""	49000	1549000
Fantasy	""	United Artists	6.3	16165	""	Horror	9000000	9-Nov-88	70	""	Original Screenplay	Child's Play	""	33244684	44196684
Fantasy	""	Universal	5.1	8666	""	Horror	13000000	9-Nov-90	38	""	Original Screenplay	Child's Play 2	""	26904572	34166572
Contemporary Fiction	Andrew Davis	20th Century Fox	5.2	15817	PG-13	Action	55000000	2-Aug-96	13	106	Original Screenplay	Chain Reaction	""	21226204	60209334
Contemporary Fiction	""	Excel Entertainment	5.8	60	PG	Drama	950000	27-Sep-02	""	""	Based on Book/Short Story	Charly	""	814666	814666
Dramatization	Hugh Hudson	Sony Pictures	7.3	16138	""	Drama	5500000	25-Sep-81	86	""	Based on Real Life Events	Chariots of Fire	""	57159946	57159946
Historical Fiction	""	MGM	8.0	51757	PG	Comedy	3250000	18-Nov-83	88	""	Based on Book/Short Story	A Christmas Story	""	19294144	19294144
Contemporary Fiction	Richard Brooks	MGM	8.0	14540	""	Drama	3000000	20-Sep-58	100	""	Based on Play	Cat on a Hot Tin Roof	""	17570324	17570324
Fantasy	""	New World	5.0	2806	""	Horror	1250000	31-Aug-84	""	""	Original Screenplay	C.H.U.D.	""	4700000	4700000
Dramatization	Michael Curtiz	Warner Bros.	""	""	""	Action	1200000	20-Oct-36	""	""	Based on Real Life Events	Charge of the Light Brigade, The	""	0	0
Historical Fiction	Spike Lee	Universal	6.5	3137	PG-13	Comedy	14000000	13-May-94	75	""	Original Screenplay	Crooklyn	""	13024170	13024170
Contemporary Fiction	Thomas Vinterberg	October Films	8.1	26607	R	Comedy	1300000	9-Oct-98	""	""	Original Screenplay	Festen	""	1647780	1647780
Dramatization	""	20th Century Fox	6.8	7870	""	Drama	36000000	12-Jun-63	40	""	Based on Real Life Events	Cleopatra	""	48000000	62000000
Contemporary Fiction	Renny Harlin	Sony Pictures	6.2	34447	""	Action	65000000	28-May-93	82	""	Original Screenplay	Cliffhanger	""	84049211	255000000
Contemporary Fiction	""	Fabrication Films	5.1	226	PG	Drama	500000	21-Oct-05	""	""	Original Screenplay	The Californians	""	4134	4134
Contemporary Fiction	Joel Schumacher	Warner Bros.	6.5	19299	PG-13	Drama	45000000	20-Jul-94	80	""	Based on Book/Short Story	The Client	""	92115211	117615211
Contemporary Fiction	Michael C. Brown	Testimony Pictures	3.4	1113	PG	Drama	160000	1-Mar-02	""	""	Original Screenplay	The Calling	""	32092	32092
Contemporary Fiction	Amy Heckerling	Paramount Pictures	6.7	39055	PG-13	Comedy	13700000	1-Jul-95	83	""	Based on Book/Short Story	Clueless	""	56598476	56598476
Historical Fiction	Steven Spielberg	Warner Bros.	7.7	26962	""	Drama	15000000	18-Dec-85	88	""	Based on Book/Short Story	The Color Purple	""	93589701	93589701
Contemporary Fiction	Kevin Smith	Miramax	7.9	89991	R	Comedy	27000	19-Oct-94	88	""	Original Screenplay	Clerks	""	3073428	3073428
Contemporary Fiction	Walter Salles	Sony Pictures Classics	8.0	17343	R	Drama	2900000	20-Nov-98	""	""	Original Screenplay	Central do Brasil	""	5969553	17006158
